starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 23 12:06:14 2023	1700737574	0	3926	3926	3925
Thu Nov 23 12:05:46 2023	1700737546	0	3926	3926	3925
Thu Nov 23 12:05:47 2023	1700737547	0	3926	3926	3926
Thu Nov 23 12:06:22 2023	1700737582	0	3927	3927	3926
Thu Nov 23 12:05:46 2023	1700737546	0	3927	3927	3927
Thu Nov 23 12:06:22 2023	1700737582	0	3927	3927	3927
Thu Nov 23 12:06:14 2023	1700737574	0	3927	3927	3927
Thu Nov 23 12:06:19 2023	1700737579	0	3928	3928	3928
Thu Nov 23 12:06:20 2023	1700737580	0	3928	3929	3928
Thu Nov 23 12:05:47 2023	1700737547	0	3929	3929	3929
Thu Nov 23 12:06:14 2023	1700737574	0	3929	3929	3929
Thu Nov 23 12:06:20 2023	1700737580	0	3931	3931	3931
Thu Nov 23 12:06:02 2023	1700737562	0	4125	4125	4125
Thu Nov 23 12:05:34 2023	1700737534	0	4130	4130	4130
Thu Nov 23 12:05:41 2023	1700737541	0	4136	4136	4136
Thu Nov 23 12:05:31 2023	1700737531	0	4136	4136	4136
Thu Nov 23 12:05:27 2023	1700737527	0	4140	4140	4140
Thu Nov 23 12:05:24 2023	1700737524	0	4141	4141	4141
Thu Nov 23 12:05:52 2023	1700737552	0	4144	4145	4144
Thu Nov 23 12:06:05 2023	1700737565	0	4145	4145	4145
Thu Nov 23 12:06:12 2023	1700737572	0	4147	4147	4147
Thu Nov 23 12:05:44 2023	1700737544	0	4148	4148	4148
Thu Nov 23 12:06:09 2023	1700737569	0	4153	4153	4153
Thu Nov 23 12:05:58 2023	1700737558	0	4166	4166	4166
Thu Nov 23 12:05:55 2023	1700737555	0	4167	4167	4167
Thu Nov 23 12:05:38 2023	1700737538	0	4168	4168	4168
Thu Nov 23 12:06:19 2023	1700737579	0	4175	4175	4174
